word_id,morph_count,case_encoded,verb_form,is_inflected
arg_pisacowsmilk_10_page_1_33,5,1,-1,1
arg_pisacowsmilk_10_page_1_34,2,-1,-1,1
arg_pisacowsmilk_10_page_1_35,3,-1,2,1
arg_pisacowsmilk_10_page_1_36,2,1,-1,0
arg_pisacowsmilk_10_page_1_37,1,-1,-1,0
arg_pisacowsmilk_10_page_1_38,5,1,-1,0
arg_pisacowsmilk_10_page_1_39,3,-1,-1,0
arg_pisacowsmilk_10_page_1_40,2,1,-1,0
arg_pisacowsmilk_10_page_1_41,5,1,-1,0
arg_pisacowsmilk_10_page_1_42,5,1,-1,0
arg_pisacowsmilk_10_page_1_43,5,-1,0,0
arg_pisacowsmilk_10_page_1_44,0,-1,-1,0
arg_pisacowsmilk_10_page_1_45,2,1,-1,0
arg_pisacowsmilk_10_page_1_46,0,-1,-1,0
arg_pisacowsmilk_10_page_1_47,2,-1,-1,0
arg_pisacowsmilk_10_page_1_48,1,-1,-1,0
arg_pisacowsmilk_10_page_1_49,2,-1,-1,1
arg_pisacowsmilk_10_page_1_50,0,-1,-1,0
arg_pisacowsmilk_10_page_1_51,2,-1,1,0
arg_pisacowsmilk_10_page_1_52,3,-1,-1,0
arg_pisacowsmilk_10_page_1_53,2,1,-1,0
arg_pisacowsmilk_10_page_1_54,5,1,-1,0
arg_pisacowsmilk_10_page_1_55,5,1,-1,1
arg_pisacowsmilk_10_page_1_56,5,-1,0,1
arg_pisacowsmilk_10_page_1_57,2,-1,1,0
arg_pisacowsmilk_10_page_1_58,5,1,-1,0
arg_pisacowsmilk_10_page_1_59,3,-1,-1,0
arg_pisacowsmilk_10_page_1_60,2,1,-1,0
arg_pisacowsmilk_10_page_1_61,5,1,-1,0
arg_pisacowsmilk_10_page_1_62,2,1,-1,0
arg_pisacowsmilk_10_page_1_63,5,1,-1,1
arg_pisacowsmilk_10_page_1_64,0,-1,-1,0
arg_pisacowsmilk_10_page_1_65,0,-1,-1,0
arg_pisacowsmilk_10_page_1_66,1,-1,-1,0
arg_pisacowsmilk_10_page_1_67,0,-1,-1,0
arg_pisacowsmilk_10_page_1_68,5,-1,0,1
arg_pisacowsmilk_10_page_1_69,4,-1,-1,1
arg_pisacowsmilk_10_page_1_70,2,1,-1,0
arg_pisacowsmilk_10_page_1_71,5,1,-1,0
arg_pisacowsmilk_10_page_1_72,2,1,-1,0
arg_pisacowsmilk_10_page_1_73,7,1,-1,1
arg_pisacowsmilk_10_page_1_74,5,1,-1,0
arg_pisacowsmilk_10_page_1_75,1,-1,-1,0
arg_pisacowsmilk_10_page_1_76,0,-1,-1,0
arg_pisacowsmilk_10_page_1_77,5,-1,0,1
arg_pisacowsmilk_10_page_1_78,5,1,-1,1
arg_pisacowsmilk_10_page_1_79,5,1,-1,0
arg_pisacowsmilk_10_page_1_80,2,1,-1,0
arg_pisacowsmilk_10_page_1_81,3,-1,-1,0
arg_pisacowsmilk_10_page_1_82,2,1,-1,0
arg_pisacowsmilk_10_page_1_83,0,-1,-1,0
arg_pisacowsmilk_10_page_1_84,2,1,-1,0
arg_pisacowsmilk_10_page_1_85,5,1,-1,0
arg_pisacowsmilk_10_page_1_86,5,1,-1,1
arg_pisacowsmilk_10_page_1_87,3,-1,-1,0
arg_pisacowsmilk_10_page_1_88,5,-1,0,1
arg_pisacowsmilk_10_page_1_89,7,1,-1,1
arg_pisacowsmilk_10_page_1_90,3,-1,-1,0
arg_pisacowsmilk_10_page_1_91,1,-1,-1,0
arg_pisacowsmilk_10_page_1_92,6,1,-1,1
arg_pisacowsmilk_10_page_1_93,5,-1,0,1
arg_pisacowsmilk_10_page_2_0,0,-1,-1,0
arg_pisacowsmilk_10_page_2_1,4,-1,-1,0
arg_pisacowsmilk_10_page_2_2,5,1,-1,1
arg_pisacowsmilk_10_page_2_3,6,1,-1,1
arg_pisacowsmilk_10_page_2_4,4,-1,-1,1
arg_pisacowsmilk_10_page_2_5,5,3,-1,1
arg_pisacowsmilk_10_page_2_6,3,-1,-1,0
arg_pisacowsmilk_10_page_2_7,4,-1,-1,1
arg_pisacowsmilk_10_page_3_0,5,1,-1,1
arg_pisacowsmilk_10_page_3_1,3,-1,2,1
arg_pisacowsmilk_10_page_3_2,2,1,-1,0
arg_pisacowsmilk_10_page_3_3,2,1,-1,0
arg_pisacowsmilk_10_page_3_4,0,-1,-1,0
arg_pisacowsmilk_10_page_3_5,4,-1,0,1
arg_pisacowsmilk_10_page_3_6,3,-1,-1,1
arg_pisacowsmilk_10_page_3_7,4,-1,-1,1
arg_pisacowsmilk_10_page_3_8,3,-1,-1,0
arg_pisacowsmilk_10_page_3_9,3,-1,-1,1
arg_pisacowsmilk_10_page_3_10,5,1,-1,1
arg_pisacowsmilk_10_page_3_11,3,-1,-1,0
arg_pisacowsmilk_10_page_3_12,5,1,-1,1
arg_pisacowsmilk_10_page_3_13,0,-1,-1,0
arg_pisacowsmilk_10_page_3_14,5,1,-1,0
arg_pisacowsmilk_10_page_3_15,4,-1,-1,0
arg_pisacowsmilk_10_page_3_16,7,1,-1,1
arg_pisacowsmilk_10_page_3_17,3,-1,-1,1
arg_pisacowsmilk_10_page_3_18,1,-1,-1,0
arg_pisacowsmilk_10_page_3_19,3,-1,-1,1
arg_pisacowsmilk_10_page_3_20,4,-1,0,1
arg_pisacowsmilk_10_page_3_21,5,1,-1,1
arg_pisacowsmilk_10_page_3_22,0,-1,-1,0
arg_pisacowsmilk_10_page_3_23,3,1,-1,1
arg_pisacowsmilk_10_page_3_24,5,1,-1,0
arg_pisacowsmilk_10_page_3_25,6,1,-1,1
arg_pisacowsmilk_10_page_3_26,4,-1,-1,1
arg_pisacowsmilk_10_page_3_27,5,3,-1,1
arg_pisacowsmilk_10_page_3_28,5,3,-1,1
arg_pisacowsmilk_10_page_3_29,6,3,-1,1
arg_pisacowsmilk_10_page_3_30,1,-1,3,0
arg_pisacowsmilk_10_page_3_31,1,-1,-1,0
arg_pisacowsmilk_10_page_3_32,5,1,-1,1
arg_pisacowsmilk_10_page_3_33,3,-1,2,1
arg_pisacowsmilk_10_page_3_34,2,1,-1,0
arg_pisacowsmilk_10_page_3_35,2,1,-1,0
arg_pisacowsmilk_10_page_3_36,0,-1,-1,0
arg_pisacowsmilk_10_page_3_37,5,2,-1,1
arg_pisacowsmilk_10_page_3_38,5,-1,0,1
arg_pisacowsmilk_10_page_3_39,5,1,-1,1
arg_pisacowsmilk_10_page_3_40,1,-1,-1,0
arg_pisacowsmilk_10_page_3_41,5,1,-1,1
arg_pisacowsmilk_10_page_3_42,2,1,-1,0
arg_pisacowsmilk_10_page_3_43,5,1,-1,0
arg_pisacowsmilk_10_page_3_44,5,-1,0,1
arg_pisacowsmilk_10_page_3_45,5,1,-1,0
arg_pisacowsmilk_10_page_3_46,5,1,-1,1
arg_pisacowsmilk_10_page_3_47,6,-1,-1,0
arg_pisacowsmilk_10_page_4_0,5,1,-1,1
arg_pisacowsmilk_10_page_4_1,2,1,-1,0
arg_pisacowsmilk_10_page_4_2,3,-1,-1,1
arg_pisacowsmilk_10_page_4_3,3,-1,2,1
arg_pisacowsmilk_10_page_4_4,2,1,-1,0
arg_pisacowsmilk_10_page_4_5,2,1,-1,0
arg_pisacowsmilk_10_page_4_6,0,-1,-1,0
arg_pisacowsmilk_10_page_4_7,5,-1,0,0
arg_pisacowsmilk_10_page_4_8,2,1,-1,0
arg_pisacowsmilk_10_page_4_9,5,1,-1,1
arg_pisacowsmilk_10_page_4_10,5,3,-1,1
arg_pisacowsmilk_10_page_4_11,6,3,-1,1
arg_pisacowsmilk_10_page_4_12,1,-1,-1,0
arg_pisacowsmilk_10_page_4_13,5,-1,0,1
arg_pisacowsmilk_10_page_4_14,2,1,-1,0
arg_pisacowsmilk_10_page_4_15,5,1,-1,1
arg_pisacowsmilk_10_page_4_16,5,3,-1,1
arg_pisacowsmilk_10_page_4_17,5,3,-1,1
arg_pisacowsmilk_10_page_4_18,6,3,-1,1
arg_pisacowsmilk_10_page_4_19,5,1,-1,0
arg_pisacowsmilk_10_page_4_20,5,-1,0,0
arg_pisacowsmilk_10_page_4_21,5,1,-1,1
arg_pisacowsmilk_10_page_4_22,6,1,-1,1
arg_pisacowsmilk_10_page_4_23,5,-1,0,1
arg_pisacowsmilk_10_page_4_24,5,1,-1,1
arg_pisacowsmilk_10_page_4_25,6,1,-1,1
arg_pisacowsmilk_10_page_4_26,1,-1,-1,0
arg_pisacowsmilk_10_page_4_27,5,-1,0,1
arg_pisacowsmilk_10_page_4_28,2,1,-1,0
arg_pisacowsmilk_10_page_4_29,5,1,-1,1
arg_pisacowsmilk_10_page_4_30,5,3,-1,1
arg_pisacowsmilk_10_page_4_31,5,1,-1,0
arg_pisacowsmilk_10_page_4_32,3,-1,-1,0
arg_pisacowsmilk_10_page_4_33,2,1,-1,0
arg_pisacowsmilk_10_page_4_34,3,-1,-1,0
arg_pisacowsmilk_10_page_4_35,5,-1,0,1
arg_pisacowsmilk_10_page_4_36,1,-1,-1,0
arg_pisacowsmilk_10_page_4_37,2,1,-1,0
arg_pisacowsmilk_10_page_4_38,5,1,-1,0
arg_pisacowsmilk_10_page_4_39,2,1,-1,0
arg_pisacowsmilk_10_page_4_40,3,-1,-1,1
arg_pisacowsmilk_10_page_4_41,1,-1,-1,0
arg_pisacowsmilk_10_page_4_42,2,1,-1,0
arg_pisacowsmilk_10_page_4_43,3,-1,-1,1
arg_pisacowsmilk_10_page_4_44,2,1,-1,0
arg_pisacowsmilk_10_page_4_45,5,1,-1,0
arg_pisacowsmilk_10_page_5_0,1,-1,-1,0
arg_pisacowsmilk_10_page_5_1,1,-1,-1,0
arg_pisacowsmilk_10_page_5_2,0,-1,-1,0
arg_pisacowsmilk_10_page_5_3,0,-1,-1,0
arg_pisacowsmilk_10_page_5_4,3,-1,-1,0
arg_pisacowsmilk_10_page_5_5,2,1,-1,0
arg_pisacowsmilk_10_page_5_6,5,1,-1,0
arg_pisacowsmilk_10_page_5_7,2,1,-1,0
arg_pisacowsmilk_10_page_5_8,2,1,-1,0
arg_pisacowsmilk_10_page_5_9,5,1,-1,1
arg_pisacowsmilk_10_page_5_10,2,1,-1,0
arg_pisacowsmilk_10_page_5_11,0,-1,-1,0
arg_pisacowsmilk_10_page_5_12,5,-1,0,1
arg_pisacowsmilk_10_page_5_13,1,-1,-1,0
arg_pisacowsmilk_10_page_5_14,5,1,-1,1
arg_pisacowsmilk_10_page_5_15,5,-1,0,0
arg_pisacowsmilk_10_page_5_16,5,1,-1,1
arg_pisacowsmilk_10_page_5_17,5,1,-1,0
arg_pisacowsmilk_10_page_5_18,2,1,-1,0
arg_pisacowsmilk_10_page_5_19,3,-1,-1,1
arg_pisacowsmilk_10_page_5_20,4,-1,-1,1
arg_pisacowsmilk_10_page_5_21,5,1,-1,1
arg_pisacowsmilk_10_page_5_22,6,1,-1,1
arg_pisacowsmilk_10_page_5_23,2,1,-1,0
arg_pisacowsmilk_10_page_5_24,3,-1,-1,0
arg_pisacowsmilk_10_page_5_25,4,-1,-1,0
arg_pisacowsmilk_10_page_5_26,0,-1,-1,0
arg_pisacowsmilk_10_page_5_27,4,-1,0,1
arg_pisacowsmilk_10_page_5_28,7,1,-1,1
arg_pisacowsmilk_10_page_5_29,5,1,-1,0
arg_pisacowsmilk_10_page_5_30,2,1,-1,0
arg_pisacowsmilk_10_page_5_31,3,-1,-1,0
arg_pisacowsmilk_10_page_5_32,0,-1,-1,0
arg_pisacowsmilk_10_page_5_33,4,-1,0,1
arg_pisacowsmilk_10_page_5_34,1,-1,-1,0
arg_pisacowsmilk_10_page_5_35,4,-1,-1,1
arg_pisacowsmilk_10_page_5_36,3,-1,-1,1
arg_pisacowsmilk_10_page_5_37,1,-1,-1,0
arg_pisacowsmilk_10_page_5_38,3,-1,-1,1
arg_pisacowsmilk_10_page_5_39,2,1,-1,0
arg_pisacowsmilk_10_page_5_40,5,1,-1,1
arg_pisacowsmilk_10_page_5_41,4,-1,-1,0
arg_pisacowsmilk_10_page_5_42,5,-1,0,1
arg_pisacowsmilk_10_page_5_43,2,1,-1,0
arg_pisacowsmilk_10_page_5_44,3,-1,-1,0
arg_pisacowsmilk_10_page_5_45,2,1,-1,0
arg_pisacowsmilk_10_page_5_46,7,1,-1,1
arg_pisacowsmilk_10_page_5_47,5,1,-1,0
arg_pisacowsmilk_10_page_6_0,5,1,-1,1
arg_pisacowsmilk_10_page_6_1,5,-1,0,0
arg_pisacowsmilk_10_page_6_2,5,1,-1,0
arg_pisacowsmilk_10_page_6_3,3,-1,-1,0
arg_pisacowsmilk_10_page_6_4,4,-1,-1,0
arg_pisacowsmilk_10_page_6_5,4,-1,-1,0
arg_pisacowsmilk_10_page_6_6,3,-1,2,1
arg_pisacowsmilk_10_page_6_7,2,1,-1,0
arg_pisacowsmilk_10_page_6_8,3,-1,-1,0
arg_pisacowsmilk_10_page_6_9,3,-1,-1,1
arg_pisacowsmilk_10_page_6_10,4,-1,-1,1
arg_pisacowsmilk_10_page_6_11,4,-1,0,0
arg_pisacowsmilk_10_page_6_12,5,1,-1,1
arg_pisacowsmilk_10_page_6_13,5,1,-1,0
arg_pisacowsmilk_10_page_6_14,6,1,-1,1
arg_pisacowsmilk_10_page_6_15,2,1,-1,0
arg_pisacowsmilk_10_page_6_16,3,-1,-1,0
arg_pisacowsmilk_10_page_6_17,1,-1,-1,0
arg_pisacowsmilk_10_page_6_18,2,1,-1,0
arg_pisacowsmilk_10_page_6_19,5,1,-1,1
arg_pisacowsmilk_10_page_6_20,3,-1,-1,0
arg_pisacowsmilk_10_page_6_21,1,-1,-1,0
arg_pisacowsmilk_10_page_6_22,2,1,-1,0
arg_pisacowsmilk_10_page_6_23,1,-1,-1,0
arg_pisacowsmilk_10_page_6_24,5,-1,0,1
arg_pisacowsmilk_10_page_6_25,5,1,-1,1
arg_pisacowsmilk_10_page_6_26,6,1,-1,1
arg_pisacowsmilk_10_page_6_27,5,1,-1,0
arg_pisacowsmilk_10_page_6_28,2,1,-1,0
arg_pisacowsmilk_10_page_6_29,5,1,-1,0
arg_pisacowsmilk_10_page_6_30,3,-1,-1,0
arg_pisacowsmilk_10_page_6_31,2,1,-1,0
arg_pisacowsmilk_10_page_6_32,3,-1,-1,1
arg_pisacowsmilk_10_page_6_33,1,-1,-1,0
arg_pisacowsmilk_10_page_6_34,3,-1,-1,0
arg_pisacowsmilk_10_page_6_35,5,1,-1,0
arg_pisacowsmilk_10_page_6_36,5,-1,0,1
arg_pisacowsmilk_10_page_6_37,3,-1,2,1
arg_pisacowsmilk_10_page_6_38,2,1,-1,0
arg_pisacowsmilk_10_page_6_39,3,-1,-1,1
arg_pisacowsmilk_10_page_6_40,5,1,-1,0
arg_pisacowsmilk_10_page_6_41,5,3,-1,1
arg_pisacowsmilk_10_page_6_42,3,1,-1,1
arg_pisacowsmilk_10_page_6_43,5,1,-1,0
arg_pisacowsmilk_10_page_6_44,6,1,-1,1
arg_pisacowsmilk_10_page_6_45,5,-1,0,1
arg_pisacowsmilk_10_page_6_46,3,-1,2,1
arg_pisacowsmilk_10_page_6_47,2,1,-1,0
arg_pisacowsmilk_10_page_6_48,3,-1,-1,1
arg_pisacowsmilk_10_page_6_49,1,-1,-1,0
arg_pisacowsmilk_10_page_6_50,2,1,-1,0
arg_pisacowsmilk_10_page_6_51,5,1,-1,1
arg_pisacowsmilk_10_page_6_52,6,1,-1,1
arg_pisacowsmilk_10_page_6_53,0,-1,-1,0
arg_pisacowsmilk_10_page_6_54,6,1,-1,1
arg_pisacowsmilk_10_page_6_55,2,1,-1,0
arg_pisacowsmilk_10_page_6_56,5,1,-1,1
arg_pisacowsmilk_10_page_6_57,2,1,-1,0
arg_pisacowsmilk_10_page_6_58,5,1,-1,0
arg_pisacowsmilk_10_page_6_59,2,1,-1,0
arg_pisacowsmilk_10_page_6_60,5,1,-1,1
arg_pisacowsmilk_10_page_6_61,4,-1,-1,0
arg_pisacowsmilk_10_page_6_62,5,1,-1,0
arg_pisacowsmilk_10_page_6_63,4,-1,0,1
arg_pisacowsmilk_10_page_6_64,7,1,-1,1
arg_pisacowsmilk_10_page_6_65,5,1,-1,0
arg_pisacowsmilk_10_page_6_66,5,1,-1,1
arg_pisacowsmilk_10_page_6_67,2,1,-1,0
arg_pisacowsmilk_10_page_6_68,5,1,-1,0
arg_pisacowsmilk_10_page_6_69,5,1,-1,1
arg_pisacowsmilk_10_page_6_70,5,3,-1,0
arg_pisacowsmilk_10_page_6_71,5,1,-1,1
arg_pisacowsmilk_10_page_6_72,4,-1,-1,0
arg_pisacowsmilk_10_page_6_73,2,1,-1,0
arg_pisacowsmilk_10_page_6_74,5,1,-1,0
arg_pisacowsmilk_10_page_6_75,6,1,-1,1
arg_pisacowsmilk_10_page_6_76,5,1,-1,1
arg_pisacowsmilk_10_page_6_77,4,-1,-1,0
arg_pisacowsmilk_10_page_6_78,4,-1,-1,0
arg_pisacowsmilk_10_page_6_79,5,3,-1,1
arg_pisacowsmilk_10_page_6_80,6,3,-1,1
arg_pisacowsmilk_10_page_6_81,6,3,-1,1
arg_pisacowsmilk_10_page_6_82,5,1,-1,1
arg_pisacowsmilk_10_page_6_83,6,1,-1,1
arg_pisacowsmilk_10_page_6_84,2,1,-1,0
arg_pisacowsmilk_10_page_6_85,3,-1,-1,0
arg_pisacowsmilk_10_page_6_86,4,-1,-1,0
arg_pisacowsmilk_10_page_6_87,0,-1,-1,0
arg_pisacowsmilk_10_page_6_88,2,-1,-1,0
arg_pisacowsmilk_10_page_6_89,0,-1,-1,0
arg_pisacowsmilk_10_page_7_0,0,-1,-1,0
arg_pisacowsmilk_10_page_7_1,0,-1,-1,0
arg_pisacowsmilk_10_page_7_2,1,-1,-1,0
arg_pisacowsmilk_10_page_7_3,0,-1,-1,0
arg_pisacowsmilk_10_page_7_4,5,-1,0,1
arg_pisacowsmilk_10_page_7_5,2,1,-1,0
arg_pisacowsmilk_10_page_7_6,5,1,-1,1
arg_pisacowsmilk_10_page_7_7,2,1,-1,0
arg_pisacowsmilk_10_page_7_8,1,-1,-1,0
arg_pisacowsmilk_10_page_7_9,1,-1,-1,0
arg_pisacowsmilk_10_page_7_10,0,-1,-1,0
arg_pisacowsmilk_10_page_7_11,2,-1,1,0
arg_pisacowsmilk_10_page_7_12,3,-1,-1,0
arg_pisacowsmilk_10_page_7_13,2,1,-1,0
arg_pisacowsmilk_10_page_7_14,5,1,-1,0
arg_pisacowsmilk_10_page_7_15,2,1,-1,0
arg_pisacowsmilk_10_page_7_16,5,1,-1,0
arg_pisacowsmilk_10_page_7_17,0,-1,-1,0
arg_pisacowsmilk_10_page_7_18,5,-1,0,0
arg_pisacowsmilk_10_page_7_19,0,-1,-1,0
arg_pisacowsmilk_10_page_7_20,1,-1,-1,0
arg_pisacowsmilk_10_page_7_21,1,-1,-1,0
arg_pisacowsmilk_10_page_7_22,5,1,-1,1
arg_pisacowsmilk_10_page_7_23,2,1,-1,0
arg_pisacowsmilk_10_page_7_24,5,1,-1,0
arg_pisacowsmilk_10_page_7_25,2,-1,-1,1
arg_pisacowsmilk_10_page_7_26,3,-1,2,1
arg_pisacowsmilk_10_page_7_27,0,-1,-1,0
arg_pisacowsmilk_10_page_7_28,4,-1,-1,0
arg_pisacowsmilk_10_page_7_29,0,-1,-1,0
arg_pisacowsmilk_10_page_7_30,5,1,-1,1
arg_pisacowsmilk_10_page_7_31,5,-1,0,1
arg_pisacowsmilk_10_page_7_32,2,1,-1,0
arg_pisacowsmilk_10_page_7_33,5,1,-1,1
arg_pisacowsmilk_10_page_7_34,5,3,-1,1
arg_pisacowsmilk_10_page_7_35,0,-1,-1,0
arg_pisacowsmilk_10_page_7_36,1,-1,-1,0
arg_pisacowsmilk_10_page_7_37,1,-1,-1,0
arg_pisacowsmilk_10_page_7_38,1,-1,-1,1
arg_pisacowsmilk_10_page_7_39,3,-1,2,1
arg_pisacowsmilk_10_page_7_40,1,-1,-1,0
arg_pisacowsmilk_10_page_7_41,5,0,-1,0
arg_pisacowsmilk_10_page_7_42,5,1,-1,1
arg_pisacowsmilk_10_page_7_43,5,1,-1,0
arg_pisacowsmilk_10_page_7_44,2,1,-1,0
arg_pisacowsmilk_10_page_7_45,3,-1,-1,0
arg_pisacowsmilk_10_page_7_46,2,1,-1,0
arg_pisacowsmilk_10_page_7_47,5,1,-1,1
arg_pisacowsmilk_10_page_7_48,2,1,-1,0
arg_pisacowsmilk_10_page_7_49,5,1,-1,0
arg_pisacowsmilk_10_page_7_50,5,1,-1,1
arg_pisacowsmilk_10_page_7_51,5,-1,0,1
arg_pisacowsmilk_10_page_7_52,5,1,-1,0
arg_pisacowsmilk_10_page_7_53,3,-1,-1,0
arg_pisacowsmilk_10_page_7_54,2,1,-1,0
arg_pisacowsmilk_10_page_7_55,5,1,-1,0
arg_pisacowsmilk_10_page_7_56,3,-1,-1,0
arg_pisacowsmilk_10_page_7_57,0,-1,-1,0
arg_pisacowsmilk_10_page_7_58,1,-1,-1,0
arg_pisacowsmilk_10_page_7_59,5,1,-1,0
arg_pisacowsmilk_10_page_7_60,1,-1,-1,1
arg_pisacowsmilk_10_page_7_61,2,-1,1,0
arg_pisacowsmilk_10_page_7_62,2,-1,1,0
arg_pisacowsmilk_10_page_7_63,5,1,-1,1
arg_pisacowsmilk_10_page_7_64,5,3,-1,1
arg_pisacowsmilk_10_page_7_65,0,-1,-1,0
arg_pisacowsmilk_10_page_7_66,1,-1,-1,0
arg_pisacowsmilk_10_page_7_67,0,-1,-1,0
arg_pisacowsmilk_10_page_7_68,5,-1,0,1
arg_pisacowsmilk_10_page_7_69,5,1,-1,1
arg_pisacowsmilk_10_page_7_70,3,-1,2,1
arg_pisacowsmilk_10_page_7_71,2,1,-1,0
arg_pisacowsmilk_10_page_7_72,0,-1,-1,0
arg_pisacowsmilk_10_page_7_73,1,-1,-1,0
arg_pisacowsmilk_10_page_7_74,5,-1,0,1
arg_pisacowsmilk_10_page_7_75,0,-1,-1,0
arg_pisacowsmilk_10_page_7_76,0,-1,-1,0
arg_pisacowsmilk_10_page_7_77,5,3,-1,1
arg_pisacowsmilk_10_page_7_78,2,1,-1,0
arg_pisacowsmilk_10_page_7_79,5,1,-1,0
arg_pisacowsmilk_10_page_8_0,4,-1,-1,0
arg_pisacowsmilk_10_page_8_1,5,1,-1,0
arg_pisacowsmilk_10_page_8_2,2,1,-1,0
arg_pisacowsmilk_10_page_8_3,3,-1,-1,0
arg_pisacowsmilk_10_page_8_4,0,-1,-1,0
arg_pisacowsmilk_10_page_8_5,0,-1,-1,0
arg_pisacowsmilk_10_page_8_6,0,-1,-1,0
arg_pisacowsmilk_10_page_8_7,2,1,-1,0
arg_pisacowsmilk_10_page_8_8,0,-1,-1,0
arg_pisacowsmilk_10_page_8_9,2,1,-1,0
arg_pisacowsmilk_10_page_8_10,1,-1,-1,0
arg_pisacowsmilk_10_page_8_11,1,-1,-1,0
arg_pisacowsmilk_10_page_8_12,0,-1,-1,0
arg_pisacowsmilk_10_page_8_13,3,-1,-1,0
arg_pisacowsmilk_10_page_8_14,2,1,-1,0
arg_pisacowsmilk_10_page_8_15,5,1,-1,0
arg_pisacowsmilk_10_page_9_0,5,1,-1,1
arg_pisacowsmilk_10_page_9_1,2,1,-1,0
arg_pisacowsmilk_10_page_9_2,5,1,-1,0
arg_pisacowsmilk_10_page_9_3,4,-1,0,1
arg_pisacowsmilk_10_page_9_4,5,1,-1,1
arg_pisacowsmilk_10_page_9_5,5,1,-1,0
arg_pisacowsmilk_10_page_9_6,6,1,-1,1
arg_pisacowsmilk_10_page_9_7,4,-1,-1,1
arg_pisacowsmilk_10_page_9_8,5,3,-1,1
arg_pisacowsmilk_10_page_9_9,5,3,-1,1
arg_pisacowsmilk_10_page_9_10,5,1,-1,0
arg_pisacowsmilk_10_page_9_11,5,-1,0,1
arg_pisacowsmilk_10_page_9_12,5,1,-1,1
arg_pisacowsmilk_10_page_9_13,2,1,-1,0
arg_pisacowsmilk_10_page_9_14,5,1,-1,0
arg_pisacowsmilk_10_page_9_15,2,1,-1,0
arg_pisacowsmilk_10_page_9_16,3,-1,-1,0
arg_pisacowsmilk_10_page_9_17,5,1,-1,1
arg_pisacowsmilk_10_page_9_18,4,-1,0,0
arg_pisacowsmilk_10_page_9_19,3,-1,-1,1
arg_pisacowsmilk_10_page_9_20,3,-1,2,1
arg_pisacowsmilk_10_page_9_21,2,1,-1,0
arg_pisacowsmilk_10_page_9_22,3,-1,-1,0
arg_pisacowsmilk_10_page_9_23,1,-1,-1,0
arg_pisacowsmilk_10_page_9_24,1,-1,-1,0
arg_pisacowsmilk_10_page_9_25,5,1,-1,1
arg_pisacowsmilk_10_page_9_26,5,-1,0,1
arg_pisacowsmilk_10_page_9_27,5,1,-1,0
arg_pisacowsmilk_10_page_9_28,3,-1,-1,0
arg_pisacowsmilk_10_page_9_29,2,1,-1,0
arg_pisacowsmilk_10_page_9_30,3,-1,-1,0
arg_pisacowsmilk_10_page_9_31,4,-1,-1,0
arg_pisacowsmilk_10_page_9_32,2,1,-1,0
arg_pisacowsmilk_10_page_9_33,2,-1,-1,0
arg_pisacowsmilk_10_page_9_34,2,1,-1,0
arg_pisacowsmilk_10_page_9_35,2,-1,-1,0
arg_pisacowsmilk_10_page_9_36,1,-1,-1,0
arg_pisacowsmilk_10_page_9_37,5,1,-1,1
arg_pisacowsmilk_10_page_9_38,2,1,-1,0
arg_pisacowsmilk_10_page_9_39,5,1,-1,0
arg_pisacowsmilk_10_page_9_40,4,-1,0,1
arg_pisacowsmilk_10_page_9_41,5,1,-1,1
arg_pisacowsmilk_10_page_9_42,5,1,-1,0
arg_pisacowsmilk_10_page_9_43,3,-1,2,1
